,date,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
436904,2022/6/13,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.974598,98463670520,0.001043205,1.0434783,0.780996,0.9812656,1700845321,17.665392,17.998701
436905,2022/6/14,600010.SHA,0.5968,-4742632448,0.0073,136.317,40.159668,98919520846,0.001043205,1.0187794,0.74234533,0.9797959,1341691228,17.748718,18.08203
436906,2022/6/15,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.604465,97551969867,0.001043205,1.0239235,0.7747241,0.97794884,1221252193,17.998701,17.832047
436907,2022/6/16,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.23433,96640269214,0.001043205,0.99065423,0.38621694,0.9773106,1277417614,17.748718,17.665392
436908,2022/6/17,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.419395,97096119540,0.001043205,1.0094787,0.3809127,0.975,995121030,17.498737,17.748718
436909,2022/6/20,600010.SHA,0.5968,-4742632448,0.0073,136.317,38.864193,95728568561,0.001043205,0.9813084,0.17471887,0.968763,866570491,17.665392,17.498737
436910,2022/6/21,600010.SHA,0.5968,-4742632448,0.0073,136.317,41.270073,1.01655E+11,0.001043205,1.0324074,0.68245214,0.98085725,4148973711,17.582064,18.581993
436911,2022/6/22,600010.SHA,0.5968,-4742632448,0.0073,136.317,45.34156,1.11683E+11,0.001043205,1.1290323,0.9512297,0.9916632,5513695384,18.915302,20.415194
436912,2022/6/23,600010.SHA,0.5968,-4742632448,0.0073,136.317,45.34156,1.11683E+11,0.001043205,1.1448598,0.9376953,0.99562407,6621622081,20.581848,20.415194
436913,2022/6/24,600010.SHA,0.5968,-4742632448,0.0073,136.317,48.857845,1.20344E+11,0.001043205,1.245283,0.9808133,0.9968737,6389088772,19.998556,21.998413
436914,2022/6/27,600010.SHA,0.5968,-4742632448,0.0073,136.317,49.04291,1.208E+11,0.001043205,1.2441314,0.9816552,0.99770737,4816908085,22.248394,22.08174
436915,2022/6/28,600010.SHA,0.5968,-4742632448,0.0073,136.317,46.451965,1.14418E+11,0.001043205,1.1952381,0.96914095,0.99833196,4351568276,22.08174,20.915157
436916,2022/6/29,600010.SHA,0.5968,-4742632448,0.0073,136.317,43.86102,1.08037E+11,0.001043205,1.0713167,0.8714792,0.9981238,2729965711,20.747166,19.9072
436917,2022/6/30,600010.SHA,0.5968,-4742632448,0.0073,136.317,43.490883,1.07125E+11,0.001043205,0.966888,0.07923269,0.99729055,2222948474,19.991196,19.739206
